You are one step away from reaching the next level in an online game. What do you believe would accelerate your progress towards that goal?,What approach would you consider to earn a free smartwatch from the fitness program organized by your community?,"Your favorite restaurant is offering a giveaway, which of the following activities would you be willing to do in order to receive the giveaway?","When playing board games with your friends, which of the following options best describes your strategy?",You participate in a lottery to win a pair of concert tickets featuring a popular band. What are you willing to do to win the tickets?,"When engaging in a new game for the very first time, which of the following options best reflects your approach to playing?","When looking for a credit card, which of the following factors holds the highest importance to you?","When coordinating an event, what matters most to you?",,"Overall, how confident do you feel using computers, smartphones, or other electronic devices to do the things you need to do online?",How do you see yourself: are you generally a person who is fully prepared to take risks or do you try to avoid taking risks?,Do you think you will enroll in an electricity saving program soon?,Do you think that you will enroll in an electricity saving program next year?,Do you think that in the future you might enroll in an electricity saving program?,"If one of your best friends were to convince you to enroll in an electricity saving program, would you give it a try?",People consider me to be tech savvy,I consider myself to be tech savvy,Do you rent or own your home?,What is your age group?,What is your sex?,What state do you live in?,Choose your preferred activity from the list below
Pursuing higher rankings for better rewards,To join a fitness group to meet new people,To rate and review the food online,I learn the game rules as you go,I would share organizer's post on my social media,I navigate the game by trial and error,An option to encourage businesses to adopt the card,That it is a sold-out event,,Not at all confident,0,Definitely yes,Definitely yes,Definitely yes,Definitely yes,0,0,I am a homeowner,18 to 24,Male,Alabama,Read the latest update about the world's largest camera being built by our organization
Venturing into a new map in the game,To try a bootcamp with different fitness classes,To beat the food eating challenge,I cooperate with other players as much as possible,I would listen to the band's music from different time periods,I share suggestions how to play the game,New and unique features of the card,That it connects people,,Only a little confident,10,Probably yes,Probably yes,Probably yes,Probably yes,5,5,I am a renter,25 to 34,Female,Alaska,Compare your completion time of the survey with others
Collaborating with fellow players in a team,To engage in daily workouts to advance in the fitness program,To try different dishes on the seasonal menu,I dominate the board,I would join the fanbase group online,I aim to advance to the next level first,Highest cashback on purchases,That it attracts new participants,,Somewhat confident,,Probably not,Probably not,Probably not,Probably not,,,Other,35 to 44,Other,Arizona,Provide rating and feedback regarding the survey
Broadcasting my narrated gameplay,To recruit more members to join the fitness program,To bring a friend to dine in together,I convince other players to adopt new rules for the game,I would pass the band's loyalty quiz,I befriend other players to learn and make connections,Ability to easily split bills with others,That it is a new experience,,Very confident,,Definitely not,Definitely not,Definitely not,Definitely not,,,,45 to 54,,Arkansas,Connect with us on social media
,,,,,,,,,,,,,,,,,,55 to 64,,California,
,,,,,,,,,,,,,,,,,,65 or over,,Colorado,
,,,,,,,,,,,,,,,,,,,,Connecticut,
,,,,,,,,,,,,,,,,,,,,Delaware,
,,,,,,,,,,,,,,,,,,,,Florida,
,,,,,,,,,,,,,,,,,,,,Georgia,
,,,,,,,,,,,,,,,,,,,,Hawaii,
,,,,,,,,,,,,,,,,,,,,Idaho,
,,,,,,,,,,,,,,,,,,,,Illinois,
,,,,,,,,,,,,,,,,,,,,Indiana,
,,,,,,,,,,,,,,,,,,,,Iowa,
,,,,,,,,,,,,,,,,,,,,Kansas,
,,,,,,,,,,,,,,,,,,,,Kentucky,
,,,,,,,,,,,,,,,,,,,,Louisiana,
,,,,,,,,,,,,,,,,,,,,Maine,
,,,,,,,,,,,,,,,,,,,,Maryland,
,,,,,,,,,,,,,,,,,,,,Massachusetts,
,,,,,,,,,,,,,,,,,,,,Michigan,
,,,,,,,,,,,,,,,,,,,,Minnesota,
,,,,,,,,,,,,,,,,,,,,Mississippi,
,,,,,,,,,,,,,,,,,,,,Missouri,
,,,,,,,,,,,,,,,,,,,,Montana,
,,,,,,,,,,,,,,,,,,,,Nebraska,
,,,,,,,,,,,,,,,,,,,,Nevada,
,,,,,,,,,,,,,,,,,,,,New Hampshire,
,,,,,,,,,,,,,,,,,,,,New Jersey,
,,,,,,,,,,,,,,,,,,,,New Mexico,
,,,,,,,,,,,,,,,,,,,,New York,
,,,,,,,,,,,,,,,,,,,,North Carolina,
,,,,,,,,,,,,,,,,,,,,North Dakota,
,,,,,,,,,,,,,,,,,,,,Ohio,
,,,,,,,,,,,,,,,,,,,,Oklahoma,
,,,,,,,,,,,,,,,,,,,,Oregon,
,,,,,,,,,,,,,,,,,,,,Pennsylvania,
,,,,,,,,,,,,,,,,,,,,Rhode Island,
,,,,,,,,,,,,,,,,,,,,South Carolina,
,,,,,,,,,,,,,,,,,,,,South Dakota,
,,,,,,,,,,,,,,,,,,,,Tennessee,
,,,,,,,,,,,,,,,,,,,,Texas,
,,,,,,,,,,,,,,,,,,,,Utah,
,,,,,,,,,,,,,,,,,,,,Vermont,
,,,,,,,,,,,,,,,,,,,,Virginia,
,,,,,,,,,,,,,,,,,,,,Washington,
,,,,,,,,,,,,,,,,,,,,West Virginia,
,,,,,,,,,,,,,,,,,,,,Wisconsin,
,,,,,,,,,,,,,,,,,,,,Wyoming,
